trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.562538764999772,None,space,0,2.606689248999828,8.562538764999772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
0,0,0,0,,,,,,,,12.437648736000483,None,12.437141928405982,None,15.429126463001012,None,15.438476447903486,None,19.445555386000706,None,19.455462373903902,None,23.43111204500019,None,rshift,0,1.2880581469999015,24.425173323999843,None,23.44030494990493,None,26.733563574000073,None,26.74153580890361,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
1,0,1,0,,,,,,,,36.73497026400037,None,36.74438806490416,None,42.73629292999976,None,42.745801992903395,None,46.73789167200084,None,46.74719366490335,None,50.738985207999576,None,rshift,1,3.9405059079999774,51.73272268599976,None,50.7484831029049,None,56.69334384800095,None,56.70022725190374,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
2,0,2,0,,,,,,,,65.69334730300034,None,65.70293203290366,None,68.69303635899996,None,68.7031856319043,None,72.69509754200044,None,72.70459354590439,None,76.69559809900056,None,rshift,1,11.135119128999577,77.69010754200099,None,76.70585241190365,None,89.83637714100041,None,89.84335921590336,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
3,0,3,0,,,,,,,,100.83682591100114,None,100.84642034390508,None,107.8385048529999,None,107.84794046390361,None,111.84012078900014,None,111.84934601190416,None,115.84115244399982,None,rshift,1,4.51851904599971,116.83471083599943,None,115.85071613090422,None,122.3776212240009,None,122.38621594890337,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
4,0,4,0,,,,,,,,133.36672542999986,None,133.3765295699048,None,137.36422271300034,None,137.3732944749043,None,141.36504594100006,None,141.37451737290377,None,145.36602067900094,None,rshift,1,1.0405793249992712,146.36064999700102,None,145.37605236690416,None,148.41894398000113,None,148.42619468190406,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
5,0,5,0,,,,,,,,159.4209214149996,None,159.4292948189048,None,162.42049584900087,None,162.43033412790447,None,166.42192336600056,None,166.43193257990407,None,170.42366821200085,None,rshift,1,0.35199243299939553,171.4172388879997,None,170.4332383249037,None,172.79213308399994,None,172.80008581290514,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
6,0,6,0,,,,,,,,180.79300850099935,None,180.80267625190373,None,184.79480286299986,None,184.8039809229047,None,188.79423393800062,None,188.80455674690512,None,192.79663544700088,None,rshift,1,1.882446035000612,193.7907810380002,None,192.80596589190446,None,196.68273234800108,None,196.69038898390482,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
7,0,7,0,,,,,,,,206.68392884999957,None,206.6933272559034,None,213.68517936600074,None,213.69508429490435,None,217.68613718500092,None,217.69634492690403,None,221.6893524420011,None,rshift,0,8.039374957999826,222.68185017399992,None,221.69870644690474,None,231.74297031900096,None,231.75060546790502,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
8,0,8,0,,,,,,,,242.74489828300102,None,242.7543433829049,None,247.74623587300084,None,247.75498937590402,None,251.74643001100048,None,251.7563800799051,None,255.74732860699987,None,rshift,0,3.571391498999219,256.7418340479999,None,255.7576738199039,None,261.3343180570009,None,261.34264127390435,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
9,0,9,0,,,,,,,,271.3362990580008,None,271.3454350909049,None,274.33643920100076,None,274.34566536590484,None,278.33779913500075,None,278.3471885349043,None,282.3388759879999,None,rshift,0,3.68482720800057,283.3324152260011,None,282.34842277890476,None,288.0414999549994,None,288.04983477790466,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
10,0,10,0,,,,,,,,299.0432315470007,None,299.052954179904,None,304.0450824140007,None,304.05432471490514,None,308.04620398299994,None,308.0556021599039,None,312.04681584100035,None,rshift,0,11.808140647999608,313.0410871210006,None,312.05699884190454,None,325.8690070249995,None,325.877820163905,None,,,,,,,,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.8717445080001,None,space,0,1.7375194169999304,333.8717445080001,None,1,001,2021_Dec_01_2054,Trial_Exp,2021.2.3,59.906423291264105,
